LOcC_L(R)_4_1,"mOccG, middle occipital gyrus"
LOcC _L(R)_4_2,"V5/MT+, area V5/MT+"
LOcC _L(R)_4_3,"OPC, occipital polar cortex"
LOcC_L(R)_4_4,"iOccG, inferior occipital gyrus"
LOcC _L(R)_2_1,"msOccG, medial superior occipital gyrus"
LOcC _L(R)_2_2,"lsOccG, lateral superior occipital gyrus"
Amyg_L(R)_2_1,"mAmyg, medial amygdala"
Amyg_L(R)_2_2,"lAmyg, lateral amygdala"
Hipp_L(R)_2_1,"rHipp, rostral hippocampus"
Hipp_L(R)_2_2,"cHipp, caudal hippocampus"
BG_L(R)_6_1,"vCa, ventral caudate"
BG_L(R)_6_2,"GP, globus pallidus"
BG_L(R)_6_3,"NAC, nucleus accumbens"
BG_L(R)_6_4,"vmPu, ventromedial putamen"
BG_L(R)_6_5,"dCa, dorsal caudate"
BG_L(R)_6_6,"dlPu, dorsolateral putamen"
Tha_L(R)_8_1,"mPFtha, medial pre-frontal thalamus"
Tha_L(R)_8_2,"mPMtha, pre-motor thalamus"
Tha_L(R)_8_3,"Stha, sensory thalamus"
Tha_L(R)_8_4,"rTtha, rostral temporal thalamus"
Tha_L(R)_8_5,"PPtha, posterior parietal thalamus"
Tha_L(R)_8_6,"Otha, occipital thalamus"
Tha_L(R)_8_7,"cTtha, caudal temporal thalamus"
Tha_L(R)_8_8,"lPFtha, lateral pre-frontal thalamus"
